일자,총자외선지수 일최고값,
2018-01-01,1.30,
2018-01-02,1.10,
2018-01-03,1.80,
2018-01-04,1.50,
2018-01-05,1.20,
2018-01-06,1.80,
2018-01-07,1.10,
2018-01-08,1.20,
2018-01-09,1.40,
2018-01-10,1.40,
2018-01-11,1.30,
2018-01-12,1.40,
2018-01-13,1.00,
2018-01-14,1.50,
2018-01-15,1.40,
2018-01-16,1.40,
2018-01-17,1.20,
2018-01-18,1.50,
2018-01-19,1.70,
2018-01-20,1.30,
2018-01-21,1.40,
2018-01-22,0.90,
2018-01-23,1.60,
2018-01-24,2.00,
2018-01-25,2.50,
2018-01-26,2.30,
2018-01-27,2.30,
2018-01-28,1.90,
2018-01-29,1.90,
2018-01-30,1.80,
2018-01-31,1.10,
2018-02-01,1.90,
2018-02-02,1.50,
2018-02-03,2.00,
2018-02-04,1.80,
2018-02-05,1.70,
2018-02-06,1.60,
2018-02-07,1.70,
2018-02-08,1.70,
2018-02-09,1.50,
2018-02-10,2.10,
2018-02-11,2.20,
2018-02-12,1.90,
2018-02-13,2.00,
2018-02-14,1.10,
2018-02-15,2.50,
2018-02-16,2.20,
2018-02-17,2.40,
2018-02-18,2.30,
2018-02-19,1.80,
2018-02-20,2.00,
2018-02-21,2.30,
2018-02-22,1.70,
2018-02-23,1.70,
2018-02-24,2.40,
2018-02-25,2.80,
2018-02-26,2.70,
2018-02-27,0.70,
2018-02-28,0.80,
2018-03-01,3.90,
2018-03-02,3.10,
2018-03-03,3.10,
2018-03-04,1.10,
2018-03-05,4.20,
2018-03-06,4.10,
2018-03-07,3.00,
2018-03-08,3.10,
2018-03-09,2.60,
2018-03-10,3.60,
2018-03-11,3.60,
2018-03-12,2.50,
2018-03-13,3.40,
2018-03-14,3.40,
2018-03-15,0.70,
2018-03-16,4.50,
2018-03-17,3.60,
2018-03-18,2.10,
2018-03-19,1.60,
2018-03-20,4.40,
2018-03-21,2.50,
2018-03-22,3.90,
2018-03-23,3.50,
2018-03-24,2.70,
2018-03-25,3.90,
2018-03-26,3.90,
2018-03-27,2.80,
2018-03-28,3.10,
2018-03-29,2.70,
2018-03-30,3.50,
2018-03-31,3.30,
2018-04-01,2.70,
2018-04-02,3.80,
2018-04-03,2.50,
2018-04-04,5.20,
2018-04-05,1.20,
2018-04-06,4.00,
2018-04-07,4.00,
2018-04-08,1.50,
2018-04-09,4.00,
2018-04-10,4.20,
2018-04-11,4.50,
2018-04-12,4.80,
2018-04-13,4.30,
2018-04-14,1.70,
2018-04-15,4.10,
2018-04-16,5.00,
2018-04-17,4.20,
2018-04-18,4.90,
2018-04-19,3.80,
2018-04-20,4.30,
2018-04-21,5.30,
2018-04-22,2.90,
2018-04-23,1.40,
2018-04-24,3.20,
2018-04-25,4.00,
2018-04-26,4.00,
2018-04-27,3.50,
2018-04-28,5.00,
2018-04-29,5.00,
2018-04-30,4.00,
2018-05-01,3.40,
2018-05-02,1.20,
2018-05-03,3.90,
2018-05-04,5.10,
2018-05-05,4.10,
