연월,지역,연료유형,용도,등록대수
2017.01,강원,경유,사업용,12362
2017.01,광주,전기,비사업용,240
2017.01,인천,전기,사업용,6
2017.01,인천,전기,비사업용,210
2017.01,대구,전기,사업용,53
2017.01,대구,전기,비사업용,305
2017.01,부산,전기,사업용,5
2017.01,부산,전기,비사업용,374
2017.01,서울,전기,사업용,706
2017.01,서울,전기,비사업용,883
2017.01,계,경유,사업용,645080
2017.01,광주,전기,사업용,
2017.01,계,경유,비사업용,8575508
2017.01,제주,경유,비사업용,156568
2017.01,경남,경유,사업용,42882
2017.01,경남,경유,비사업용,652392
2017.01,경북,경유,사업용,28232
2017.01,경북,경유,비사업용,589771
2017.01,전남,경유,사업용,53485
2017.01,전남,경유,비사업용,425268
2017.01,전북,경유,사업용,20286
2017.01,전북,경유,비사업용,390184
2017.01,충남,경유,사업용,23134
2017.01,제주,경유,사업용,41922
2017.01,대전,전기,비사업용,84
2017.01,대전,전기,사업용,
2017.01,울산,전기,비사업용,107
2017.01,계,전기,사업용,2537
2017.01,계,전기,비사업용,9257
2017.01,제주,전기,사업용,1716
2017.01,제주,전기,비사업용,4551
2017.01,경남,전기,사업용,6
2017.01,경남,전기,비사업용,582
2017.01,경북,전기,사업용,4
2017.01,경북,전기,비사업용,292
2017.01,전남,전기,사업용,7
2017.01,전남,전기,비사업용,454
2017.01,전북,전기,사업용,2
2017.01,전북,전기,비사업용,69
2017.01,충남,전기,사업용,
2017.01,충남,전기,비사업용,180
2017.01,충북,전기,사업용,
2017.01,충북,전기,비사업용,65
2017.01,강원,전기,사업용,15
2017.01,강원,전기,비사업용,142
2017.01,경기,전기,사업용,16
2017.01,경기,전기,비사업용,691
2017.01,세종,전기,사업용,1
2017.01,세종,전기,비사업용,28
2017.01,울산,전기,사업용,
2017.01,충남,경유,비사업용,454701
2017.01,부산,휘발유,비사업용,622222
2017.01,충북,경유,사업용,17649
2017.01,부산,휘발유,사업용,3122
2017.01,전남,휘발유,사업용,24906
2017.01,전남,휘발유,비사업용,326670
2017.01,전북,휘발유,사업용,2035
2017.01,전북,휘발유,비사업용,349313
2017.01,충남,휘발유,사업용,1963
2017.01,충남,휘발유,비사업용,435332
2017.01,충북,휘발유,사업용,1268
2017.01,충북,휘발유,비사업용,328292
2017.01,강원,휘발유,사업용,1031
2017.01,강원,휘발유,비사업용,304828
2017.01,경북,휘발유,비사업용,585563
2017.01,경기,휘발유,사업용,10649
2017.01,세종,휘발유,사업용,42
2017.01,세종,휘발유,비사업용,54506
2017.01,울산,휘발유,사업용,1138
2017.01,울산,휘발유,비사업용,269072
2017.01,대전,휘발유,사업용,1188
2017.01,대전,휘발유,비사업용,317163
2017.01,광주,휘발유,사업용,1412
2017.01,광주,휘발유,비사업용,280045
2017.01,인천,휘발유,사업용,88778
2017.01,인천,휘발유,비사업용,558915
2017.01,경기,휘발유,비사업용,2455984
2017.01,경북,휘발유,사업용,1427
2017.01,경남,휘발유,비사업용,752390
2017.01,경남,휘발유,사업용,11530
2017.01,강원,경유,비사업용,329811
2017.01,경기,경유,사업용,133046
2017.01,경기,경유,비사업용,2057411
2017.01,세종,경유,사업용,1684
2017.01,세종,경유,비사업용,43532
2017.01,울산,경유,사업용,10094
2017.01,울산,경유,비사업용,208408
2017.01,대전,경유,사업용,13056
2017.01,대전,경유,비사업용,234414
2017.01,광주,경유,사업용,14544
2017.01,광주,경유,비사업용,240013
2017.01,인천,경유,사업용,105007
2017.01,인천,경유,비사업용,516399
2017.01,대구,경유,사업용,23617
2017.01,대구,경유,비사업용,420478
2017.01,부산,경유,사업용,33905
2017.01,부산,경유,비사업용,480648
2017.01,서울,경유,사업용,70175
2017.01,서울,경유,비사업용,1042523
2017.01,계,휘발유,사업용,204437
2017.01,계,휘발유,비사업용,9928106
2017.01,제주,휘발유,사업용,33697
2017.01,제주,휘발유,비사업용,160989
2017.01,충북,경유,비사업용,332987
2017.01,서울,휘발유,사업용,18396
2017.01,서울,휘발유,비사업용,1582002
2017.01,대구,휘발유,비사업용,544820
2017.01,대구,휘발유,사업용,1855
2017.02,대구,휘발유,사업용,1846
2017.02,제주,휘발유,비사업용,161008
2017.02,제주,휘발유,사업용,34241
2017.02,계,휘발유,비사업용,9943776
2017.02,계,휘발유,사업용,206306
2017.02,서울,경유,비사업용,1045000
2017.02,서울,경유,사업용,70138
2017.02,부산,경유,비사업용,481061
2017.02,부산,경유,사업용,33856
2017.02,대구,경유,비사업용,421377
2017.02,대구,경유,사업용,23586
2017.02,경남,휘발유,사업용,11774
2017.02,인천,경유,비사업용,517070
2017.02,광주,경유,비사업용,240454
2017.02,광주,경유,사업용,14604
2017.02,대전,경유,비사업용,234725
2017.02,대전,경유,사업용,13096
2017.02,울산,경유,비사업용,208554
2017.02,울산,경유,사업용,10088
2017.02,세종,경유,비사업용,43925
2017.02,세종,경유,사업용,1714
2017.02,경기,경유,비사업용,2060039
2017.02,경기,경유,사업용,133259
2017.02,인천,경유,사업용,106164
2017.02,대구,휘발유,비사업용,544833
2017.02,경남,휘발유,비사업용,753412
2017.02,경북,휘발유,비사업용,586542
2017.02,인천,휘발유,비사업용,560315
2017.02,인천,휘발유,사업용,89567
2017.02,광주,휘발유,비사업용,280217
2017.02,광주,휘발유,사업용,1412
2017.02,대전,휘발유,비사업용,317199
2017.02,대전,휘발유,사업용,1194
2017.02,울산,휘발유,비사업용,269439
2017.02,울산,휘발유,사업용,1121
2017.02,세종,휘발유,비사업용,55132
2017.02,세종,휘발유,사업용,41
2017.02,강원,경유,비사업용,330553
2017.02,경기,휘발유,비사업용,2462048
2017.02,강원,휘발유,비사업용,305465
2017.02,강원,휘발유,사업용,1025
2017.02,충북,휘발유,비사업용,329437
2017.02,충북,휘발유,사업용,1267
2017.02,충남,휘발유,비사업용,436949
2017.02,충남,휘발유,사업용,2005
2017.02,전북,휘발유,비사업용,349851
2017.02,전북,휘발유,사업용,2048
2017.02,전남,휘발유,비사업용,327464
2017.02,전남,휘발유,사업용,25214
2017.02,경기,휘발유,사업용,10653
2017.02,경북,휘발유,사업용,1411
2017.02,계,전기,사업용,2695
2017.02,충북,경유,사업용,17721
2017.02,울산,전기,사업용,
2017.02,세종,전기,비사업용,31
2017.02,세종,전기,사업용,1
2017.02,경기,전기,비사업용,755
2017.02,경기,전기,사업용,17
2017.02,강원,전기,비사업용,163
2017.02,강원,전기,사업용,15
2017.02,충북,전기,비사업용,77
2017.02,충북,전기,사업용,
2017.02,충남,전기,비사업용,188
2017.02,울산,전기,비사업용,119
2017.02,충남,전기,사업용,
2017.02,전북,전기,사업용,2
2017.02,전남,전기,비사업용,473
2017.02,전남,전기,사업용,7
2017.02,경북,전기,비사업용,317
2017.02,경북,전기,사업용,4
2017.02,경남,전기,비사업용,624
2017.02,경남,전기,사업용,11
2017.02,제주,전기,비사업용,4602
2017.02,제주,전기,사업용,1830
2017.02,계,전기,비사업용,9699
2017.02,전북,전기,비사업용,106
2017.02,대전,전기,사업용,
2017.02,대전,전기,비사업용,90
2017.02,광주,전기,사업용,27
2017.02,충남,경유,비사업용,456535
2017.02,충남,경유,사업용,23207
2017.02,전북,경유,비사업용,390943
2017.02,전북,경유,사업용,20286
2017.02,전남,경유,비사업용,426317
2017.02,전남,경유,사업용,53730
2017.02,경북,경유,비사업용,591508
2017.02,경북,경유,사업용,28227
2017.02,경남,경유,비사업용,654196
2017.02,경남,경유,사업용,43158
2017.02,제주,경유,비사업용,156863
2017.02,제주,경유,사업용,42455
2017.02,계,경유,비사업용,8593154
2017.02,계,경유,사업용,647630
2017.02,서울,전기,비사업용,934
2017.02,서울,전기,사업용,715
2017.02,부산,전기,비사업용,388
2017.02,부산,전기,사업용,7
2017.02,대구,전기,비사업용,361
2017.02,대구,전기,사업용,53
2017.02,인천,전기,비사업용,217
2017.02,인천,전기,사업용,6
2017.02,광주,전기,비사업용,254
2017.02,충북,경유,비사업용,334034
2017.02,서울,휘발유,사업용,18351
2017.02,강원,경유,사업용,12341
2017.02,서울,휘발유,비사업용,1582264
2017.02,부산,휘발유,사업용,3136
2017.02,부산,휘발유,비사업용,622201
2017.03,서울,휘발유,사업용,18269
2017.03,대구,전기,사업용,53
2017.03,대구,전기,비사업용,566
2017.03,부산,전기,사업용,7
2017.03,부산,전기,비사업용,405
2017.03,서울,전기,사업용,687
2017.03,서울,전기,비사업용,1005
2017.03,계,경유,사업용,651857
2017.03,계,경유,비사업용,8619536
2017.03,제주,경유,사업용,44302
2017.03,제주,경유,비사업용,157562
2017.03,인천,전기,비사업용,237
2017.03,경남,경유,사업용,43381
2017.03,경북,경유,사업용,28275
2017.03,경북,경유,비사업용,593464
2017.03,전남,경유,사업용,54361
2017.03,전남,경유,비사업용,428000
2017.03,전북,경유,사업용,20285
2017.03,전북,경유,비사업용,392017
2017.03,충남,경유,사업용,23234
2017.03,충남,경유,비사업용,458549
2017.03,충북,경유,사업용,17822
2017.03,충북,경유,비사업용,335106
2017.03,경남,경유,비사업용,656499
2017.03,인천,전기,사업용,5
2017.03,광주,전기,비사업용,281
2017.03,광주,전기,사업용,27
2017.03,제주,전기,비사업용,4773
2017.03,경남,전기,사업용,11
2017.03,경남,전기,비사업용,662
2017.03,경북,전기,사업용,4
2017.03,경북,전기,비사업용,336
2017.03,전남,전기,사업용,7
2017.03,전남,전기,비사업용,489
2017.03,전북,전기,사업용,2
2017.03,전북,전기,비사업용,149
2017.03,충남,전기,사업용,
2017.03,충남,전기,비사업용,188
2017.03,충북,전기,사업용,
2017.03,충북,전기,비사업용,99
2017.03,강원,전기,사업용,14
2017.03,강원,전기,비사업용,180
2017.03,경기,전기,사업용,17
2017.03,경기,전기,비사업용,865
2017.03,세종,전기,사업용,1
2017.03,세종,전기,비사업용,45
2017.03,울산,전기,사업용,
2017.03,울산,전기,비사업용,133
2017.03,대전,전기,사업용,1
2017.03,대전,전기,비사업용,107
2017.03,강원,경유,사업용,12295
2017.03,강원,경유,비사업용,331808
2017.03,경기,경유,사업용,133450
2017.03,계,전기,사업용,2668
2017.03,전북,휘발유,비사업용,350635
2017.03,충남,휘발유,사업용,1957
2017.03,충남,휘발유,비사업용,439044
2017.03,충북,휘발유,사업용,1261
2017.03,충북,휘발유,비사업용,330662
2017.03,강원,휘발유,사업용,1021
2017.03,강원,휘발유,비사업용,306297
2017.03,경기,휘발유,사업용,10421
2017.03,경기,휘발유,비사업용,2471649
2017.03,세종,휘발유,사업용,42
2017.03,세종,휘발유,비사업용,56096
2017.03,울산,휘발유,사업용,1124
2017.03,울산,휘발유,비사업용,270026
2017.03,대전,휘발유,사업용,1168
2017.03,대전,휘발유,비사업용,317693
2017.03,광주,휘발유,사업용,1400
2017.03,광주,휘발유,비사업용,280886
2017.03,인천,휘발유,사업용,90193
2017.03,인천,휘발유,비사업용,562331
2017.03,대구,휘발유,사업용,1852
2017.03,대구,휘발유,비사업용,545666
2017.03,부산,휘발유,사업용,3249
2017.03,부산,휘발유,비사업용,623373
2017.03,전북,휘발유,사업용,2075
