datetime,region,no2,co,so2,o3,pm10,pm25,temperature,wind_direction,wind_speed,precipitation,humidity,uv_max
2015-01-01 00:00:00,서울시,0.026,0.8,0.008,0.032,168,42,-3.8,358.9,8.3,0.0,71.0,4.7
2015-01-02 00:00:00,서울시,0.048,1.0,0.009,0.034,57,27,-0.9,359.6,7.0,0.0,82.0,4.7
2015-01-03 00:00:00,서울시,0.079,1.6,0.012,0.02,76,50,3.0,359.8,3.7,0.0,91.0,4.7
2015-01-04 00:00:00,서울시,0.104,2.7,0.011,0.027,97,53,8.2,359.3,4.2,0.0,100.0,4.7
2015-01-05 00:00:00,서울시,0.106,2.6,0.018,0.028,133,77,9.9,359.3,5.0,0.0,100.0,4.7
2015-01-06 00:00:00,서울시,0.075,1.6,0.011,0.04,116,69,5.0,359.6,7.4,1.0,100.0,4.7
2015-01-07 00:00:00,서울시,0.053,1.0,0.01,0.038,70,30,-0.6,360.0,5.1,0.0,70.0,4.7
2015-01-08 00:00:00,서울시,0.074,1.8,0.01,0.031,82,48,0.5,359.8,3.9,0.0,88.0,4.7
2015-01-09 00:00:00,서울시,0.089,2.1,0.014,0.033,86,61,3.4,359.4,4.1,0.0,92.0,4.7
2015-01-10 00:00:00,서울시,0.083,2.4,0.016,0.039,96,70,5.4,357.6,4.4,0.0,96.0,4.7
2015-01-11 00:00:00,서울시,0.067,2.3,0.014,0.039,76,49,3.9,359.3,8.1,0.0,100.0,4.7
2015-01-12 00:00:00,서울시,0.082,2.3,0.012,0.038,107,64,3.1,359.5,4.1,0.0,81.0,4.7
2015-01-13 00:00:00,서울시,0.112,3.0,0.016,0.03,118,68,6.5,359.9,4.1,0.0,89.0,4.7
2015-01-14 00:00:00,서울시,0.112,2.1,0.018,0.029,138,73,6.4,359.5,3.7,0.0,84.0,4.7
2015-01-15 00:00:00,서울시,0.1,2.4,0.016,0.038,108,69,8.6,359.6,4.6,0.0,92.0,4.7
2015-01-16 00:00:00,서울시,0.09,2.4,0.012,0.033,128,90,4.6,358.4,7.0,0.0,100.0,4.7
2015-01-17 00:00:00,서울시,0.062,1.1,0.011,0.04,109,70,0.6,359.7,6.4,0.0,80.0,4.7
2015-01-18 00:00:00,서울시,0.068,1.5,0.011,0.027,65,51,3.0,360.0,4.6,2.0,100.0,4.7
2015-01-19 00:00:00,서울시,0.061,2.0,0.015,0.04,118,64,3.9,358.3,5.7,0.0,100.0,4.7
2015-01-20 00:00:00,서울시,0.082,1.8,0.012,0.028,95,53,4.5,359.0,4.6,0.0,95.0,4.7
