region,datetime,no2,co,so2,o3,pm10,pm25,diesel,electric,gasoline
강남구,2017-01-01 00:00:00,0.034,0.6,0.005,0.012,57,31,1112698.0,1589.0,1600398.0
강남구,2017-02-01 00:00:00,0.036,0.6,0.005,0.016,51,29,1115138.0,1649.0,1600615.0
강남구,2017-03-01 00:00:00,0.039,0.5,0.005,0.021,63,44,1116960.0,1692.0,1601053.0
강남구,2017-04-01 00:00:00,0.032,0.4,0.005,0.029,57,24,1119341.0,1714.0,1602253.0
강남구,2017-05-01 00:00:00,0.027,0.3,0.005,0.032,62,23,1122534.0,1932.0,1602947.0
강남구,2017-06-01 00:00:00,0.024,0.3,0.005,0.032,43,22,1124890.0,2327.0,1604293.0
강남구,2017-07-01 00:00:00,0.021,0.4,0.005,0.025,34,22,1128072.0,2678.0,1604828.0
강남구,2017-08-01 00:00:00,0.022,0.3,0.005,0.019,22,11,1130553.0,2894.0,1603910.0
강남구,2017-09-01 00:00:00,0.027,0.4,0.005,0.022,33,18,1132284.0,3530.0,1603786.0
강남구,2017-10-01 00:00:00,0.027,0.4,0.005,0.016,26,15,1132942.0,3908.0,1603340.0
강남구,2017-11-01 00:00:00,0.033,0.5,0.005,0.011,40,24,1134664.0,4279.0,1602690.0
강남구,2017-12-01 00:00:00,0.019,0.4,0.006,0.019,42,33,1135239.0,4797.0,1600270.0
강남구,2018-01-01 00:00:00,0.037,0.6,0.006,0.009,42,33,1136859.0,4851.0,1601123.0
강남구,2018-02-01 00:00:00,0.036,0.6,0.006,0.012,49,30,1137717.0,4911.0,1600109.0
강남구,2018-03-01 00:00:00,0.037,0.5,0.006,0.018,47,33,1138015.0,5036.0,1598796.0
강남구,2018-04-01 00:00:00,0.035,0.4,0.005,0.021,46,23,1140225.0,5184.0,1599229.0
강남구,2018-05-01 00:00:00,0.028,0.4,0.005,0.024,36,21,1141609.0,5545.0,1597782.0
강남구,2018-06-01 00:00:00,0.028,0.4,0.005,0.03,31,23,1143719.0,6177.0,1595974.0
강남구,2018-07-01 00:00:00,0.022,0.3,0.005,0.02,21,15,1145341.0,6942.0,1594638.0
강남구,2018-08-01 00:00:00,0.021,0.3,0.005,0.024,19,11,1146526.0,7480.0,1593411.0
강남구,2018-09-01 00:00:00,0.024,0.4,0.005,0.019,15,7,1147831.0,8105.0,1594017.0
강남구,2018-10-01 00:00:00,0.032,0.4,0.005,0.014,24,12,1147408.0,8619.0,1593813.0
강남구,2018-11-01 00:00:00,0.041,0.6,0.006,0.009,47,24,1146518.0,9329.0,1593077.0
강남구,2018-12-01 00:00:00,0.032,0.6,0.006,0.01,39,24,1147787.0,9564.0,1592471.0
강남구,2019-01-01 00:00:00,0.036,0.7,0.006,0.01,61,43,,,
강남구,2019-02-01 00:00:00,0.034,0.6,0.006,0.014,54,40,,,
강남구,2019-03-01 00:00:00,0.03,0.5,0.006,0.023,63,46,,,
강남구,2019-04-01 00:00:00,0.027,0.3,0.006,0.023,33,18,,,
강남구,2019-05-01 00:00:00,0.025,0.4,0.006,0.037,42,25,,,
강남구,2019-06-01 00:00:00,0.018,0.3,0.005,0.035,23,15,,,
강남구,2019-07-01 00:00:00,0.015,0.3,0.005,0.027,28,17,,,
강남구,2019-08-01 00:00:00,0.017,0.4,0.005,0.024,28,16,,,
